Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
actividad productiva de  temporada,Encontrado en glosario,Sí,No,No,Sí,No,"tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza estacional o vinculados a actividades productivas de temporada, actividad productiva de  temporada tinuo"
trabajo consistente en el prestación,Encontrado en glosario,Sí,No,Sí,Sí,No,indeterminados. El contrato fijo-discontinuo podrá concertarse para el desarrollo de trabajos consistentes en la prestación de servicios en el marco trabajo consistente en el prestación nuo
actividad ordinario de el empresa,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,"administrativas que, siendo previsibles, formen parte de la actividad ordinaria de la empresa. Asimismo, podrá celebrarse un contrato fijo-discontinuo entre actividad ordinario de el empresa ntinuo"
contrato fijo-discontinuo entre uno empresa,Encontrado en glosario,Sí,No,Sí,Sí,No,"empresa. Asimismo, podrá celebrarse un contrato fijo-discontinuo entre una empresa de trabajo temporal y una persona contratada para ser cedida, contrato fijo-discontinuo entre uno empresa El contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza estacional o vinculados a actividades productivas de temporada, o para el desarrollo de aquellos que no tengan dicha naturaleza pero que, siendo de prestación intermitente, tengan periodos de ejecución ciertos, determinados o indeterminados"
término previsto en el artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,"ser cedida, en los términos previstos en el artículo 10.3 de la Ley 14/1994, de 1 de junio, por la término previsto en el artículo continuo"
elemento esencial de el actividad,Encontrado en glosario,Sí,No,Sí,Sí,No,"la actividad laboral, entre otros, la duración del periodo de actividad, la jornada y su distribución horaria, si bien estos elemento esencial de el actividad ntinuo"
persona interesado con el indicación,Encontrado en glosario,Sí,Sí,No,Sí,No,"antelación adecuada. Sin perjuicio de lo anterior, la empresa deberá trasladar a la representación legal de las personas trabajadoras, con persona interesado con el indicación nuo"
indicación preciso de el condición,Parcialmente encontrado,No,No,Sí,No,No,"de lo anterior, la empresa deberá trasladar a la representación legal de las personas trabajadoras, con la suficiente antelación, al indicación preciso de el condición tinuo"
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"con las previsiones de llamamiento anual, o, en su caso, semestral, así como los datos de las altas efectivas de representación legal de el persona tinuo"
incumplimiento relacionado con el llamamiento,Encontrado en glosario,Sí,No,Sí,Sí,No,"Cuando la contratación fija-discontinua se justifique por la celebración de contratas, subcontratas o con motivo de concesiones administrativas en los incumplimiento relacionado con el llamamiento l contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza estacional o vinculados a actividades productivas de temporada, o para el desarrollo de aquellos que no tengan dicha naturaleza pero que, siendo de prestación intermitente, tengan periodos de ejecución ciertos, determinados o indeterminados"
concesión administrativo en el término,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"un plazo máximo de inactividad entre subcontratas, que, en defecto de previsión convencional, será de tres meses. Una vez cumplido concesión administrativo en el término o"
plazo máximo de  inactividad,Encontrado en glosario,Sí,No,No,Sí,No,esta norma. 5. Los convenios colectivos de ámbito sectorial podrán establecer una bolsa sectorial de empleo en la que se plazo máximo de  inactividad discontinuo
término previsto en este norma,Encontrado en glosario,Sí,No,Sí,Sí,No,"formación continua durante estos, todo ello sin perjuicio de las obligaciones en materia de contratación y llamamiento efectivo de cada término previsto en este norma scontinuo"
convenio colectivo de  ámbito,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,obligaciones en materia de contratación y llamamiento efectivo de cada una de las empresas en los términos previstos en este convenio colectivo de  ámbito iscontinuo
bolsa sectorial de  empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"de cada una de las empresas en los términos previstos en este artículo. Estos mismos convenios podrán acordar, cuando las bolsa sectorial de  empleo o-discontinuo"
persona fijas-discontinua durante el periodo,Encontrado en glosario,Sí,No,Sí,Sí,No,"este artículo. Estos mismos convenios podrán acordar, cuando las peculiaridades de la actividad del sector así lo justifiquen, la celebración persona fijas-discontinua durante el periodo El contrato por tiempo indefinido fijo-discontinuo se concertará para la realización de trabajos de naturaleza estacional o vinculados a actividades productivas de temporada, o para el desarrollo de aquellos que no tengan dicha naturaleza pero que, siendo de prestación intermitente, tengan periodos de ejecución ciertos, determinados o indeterminados"
llamamiento efectivo de cada uno,Encontrado en glosario,Sí,No,No,Sí,No,"elaborar un censo anual del personal fijo-discontinuo. Asimismo, podrán establecer un periodo mínimo de llamamiento anual y una cuantía por llamamiento efectivo de cada uno ontinuo"
término previsto en este artículo,Encontrado en glosario,Sí,No,Sí,Sí,No,un periodo mínimo de llamamiento anual y una cuantía por fin de llamamiento a satisfacer por las empresas a las término previsto en este artículo ntinuo
tiempo parcial de el contrato,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"de la actividad y no se produzca, sin solución de continuidad, un nuevo llamamiento. 6. Las personas trabajadoras fijas-discontinuas no tiempo parcial de el contrato iscontinuo"
censo anual del  personal,Encontrado en glosario,Sí,No,No,Sí,No,"trabajadoras fijas-discontinuas no podrán sufrir perjuicios por el ejercicio de los derechos de conciliación, ausencias con derecho a reserva de censo anual del  personal jo-discontinuo"
periodo mínimo de  llamamiento,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"de conciliación, ausencias con derecho a reserva de puesto de trabajo y otras causas justificadas en base a derechos reconocidos periodo mínimo de  llamamiento scontinuo"
causa justificado en  base,Encontrado en glosario,Sí,No,Sí,Sí,No,"a criterios de objetividad, proporcionalidad y transparencia. 7. La empresa deberá informar a las personas fijas-discontinuas y a la representación causa justificado en  base o-discontinuo"
derecho reconocido en el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,y transparencia. 7. La empresa deberá informar a las personas fijas-discontinuas y a la representación legal de las personas trabajadoras derecho reconocido en el ley discontinuo
representación legal de el persona,Encontrado en glosario,Sí,Sí,Sí,Sí,No,profesional para el empleo en el ámbito laboral durante los periodos de inactividad. Sección 2.ª Derechos y deberes derivados del representación legal de el persona tinuo
persona trabajadora sobre el existencia,Encontrado en glosario,Sí,Sí,Sí,Sí,No,en el ámbito laboral durante los periodos de inactividad. Sección 2.ª Derechos y deberes derivados del contrato persona trabajadora sobre el existencia
trabajo vacante de  carácter,Encontrado en glosario,Sí,Sí,Sí,Sí,No,inactividad. Sección 2.ª Derechos y deberes derivados del contrato trabajo vacante de  carácter discontinuo
colectivo prioritario para el acceso,Encontrado en glosario,Sí,No,Sí,Sí,No,colectivo prioritario para el acceso a las iniciativas de formación del sistema de formación profesional para el empleo en el ámbito laboral durante los periodos de inactividad
formación profesional para el empleo,Encontrado en glosario,Sí,Sí,Sí,Sí,Sí,formación profesional para el empleo en el ámbito laboral durante los periodos de inactividad
ámbito laboral durante el periodo,Encontrado en glosario,Sí,No,Sí,Sí,Sí,ámbito laboral durante el periodo ntinuo
