Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
pago a causa,pago,a,causa,pago,causa,pago a causa,No,Sí,Sí,No,No,Parcialmente encontrado,"trabajadores el importe de los salarios pendientes de pago a causa de insolvencia o concurso pago a causa los anteriores efectos, se considerará salario la cantidad reconocida como tal en acto de conciliación"
causa de insolvencia,causa,de,insolvencia,causa,insolvencia,causa de insolvencia,No,Sí,Sí,No,No,Parcialmente encontrado,"importe de los salarios pendientes de pago a causa de insolvencia o concurso del empresario. causa de insolvencia efectos, se considerará salario la cantidad reconocida como tal en acto de conciliación o en"
concurso del empresario,concurso,del,empresario,concurso,empresario,concurso del empresario,No,Sí,Sí,No,No,Parcialmente encontrado,"pendientes de pago a causa de insolvencia o concurso del empresario. A los anteriores efectos, concurso del empresario la cantidad reconocida como tal en acto de conciliación o en resolución judicial por todos"
acto de conciliación,acto,de,conciliación,acto,conciliación,acto de conciliación,Sí,Sí,Sí,No,Sí,Encontrado en glosario,"cantidad reconocida como tal en acto de conciliación o en resolución judicial por todos los acto de conciliación se refiere el artículo 26.1, así como los salarios de tramitación en los supuestos en"
salarios de tramitación,salarios,de,tramitación,salarios,tramitación,salarios de tramitación,No,No,Sí,No,Sí,Parcialmente encontrado,"así como los salarios de tramitación en los supuestos en que legalmente procedan, sin que salarios de tramitación abonar, por uno u otro concepto, conjunta o separadamente, un importe superior a la cantidad"
doble del salario,doble,del,salario,doble,salario,doble del salario,No,No,Sí,No,No,Parcialmente encontrado,"del salario mínimo interprofesional diario, incluyendo la parte proporcional de las pagas extraordinarias, por el doble del salario de salario pendiente de pago, con un máximo de ciento veinte días. 2. El Fondo"
número de días,número,de,días,número,día,número de día,No,No,No,No,No,No encontrado,"de salario pendiente de pago, con un máximo de ciento veinte días. 2. El Fondo número de días en los casos del apartado anterior, abonará indemnizaciones reconocidas como consecuencia de sentencia, auto, acto"
días de salario,días,de,salario,días,salario,días de salario,No,No,Sí,No,No,Parcialmente encontrado,"pendiente de pago, con un máximo de ciento veinte días. 2. El Fondo de Garantía días de salario casos del apartado anterior, abonará indemnizaciones reconocidas como consecuencia de sentencia, auto, acto de conciliación"
casos del apartado,casos,del,apartado,caso,apartado,caso del apartado,No,No,No,No,No,No encontrado,"consecuencia de sentencia, auto, acto de conciliación judicial o resolución administrativa a favor de los casos del apartado de despido o extinción de los contratos conforme a los artículos 50, 51, 52, 40.1"
consecuencia de sentencia,consecuencia,de,sentencia,consecuencia,sentencia,consecuencia de sentencia,No,No,Sí,No,No,Parcialmente encontrado,"resolución administrativa a favor de los trabajadores a causa de despido o extinción de los consecuencia de sentencia los artículos 50, 51, 52, 40.1 y 41.3, y de extinción de contratos conforme a"
acto de conciliación,acto,de,conciliación,acto,conciliación,acto de conciliación,Sí,Sí,Sí,No,Sí,Encontrado en glosario,"trabajadores a causa de despido o extinción de los contratos conforme a los artículos 50, acto de conciliación y 41.3, y de extinción de contratos conforme a los artículos 181 y 182 del"
