Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
salario pendiente de  pago,Encontrado en glosario,Sí,No,Sí,Sí,No,"el cumplimiento de sus fines, abonará a los trabajadores el importe de los salarios pendientes de pago a causa de salario pendiente de  pago Garantía Salarial"
resolución judicial por todo el,Encontrado en glosario,Sí,No,No,Sí,Sí,cantidad reconocida como tal en acto de conciliación o en resolución judicial por todos los conceptos a que se refiere resolución judicial por todo el tía Salarial
importe superior a el cantidad,Parcialmente encontrado,No,Sí,No,No,No,"conjunta o separadamente, un importe superior a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, incluyendo importe superior a el cantidad ntía Salarial"
parte proporcional de el pagar,Encontrado en glosario,Sí,No,Sí,Sí,No,"diario, incluyendo la parte proporcional de las pagas extraordinarias, por el número de días de salario pendiente de pago, con parte proporcional de el pagar ntía Salarial"
salario pendiente de  pago,Encontrado en glosario,Sí,No,Sí,Sí,No,"días de salario pendiente de pago, con un máximo de ciento veinte días. 2. El Fondo de Garantía Salarial, en salario pendiente de  pago Garantía Salarial"
resolución administrativo a  favor,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"trabajadores a causa de despido o extinción de los contratos conforme a los artículos 50, 51, 52, 40.1 y 41.3, resolución administrativo a  favor Salarial"
texto refundir de el ley,Encontrado en glosario,Sí,No,Sí,Sí,No,"Legislativo 1/2020, de 5 de mayo, y al artículo 11.2 del Real Decreto 1620/2011, de 14 de noviembre, por el texto refundir de el ley e Garantía Salarial"
relación laboral de  carácter,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"de contratos temporales o de duración determinada en los casos que legalmente procedan. En todos los casos, con el límite relación laboral de  carácter antía Salarial"
carácter especial del  servicio,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"o de duración determinada en los casos que legalmente procedan. En todos los casos, con el límite máximo de una carácter especial del  servicio tía Salarial"
duración determinado en el caso,Encontrado en glosario,Sí,No,Sí,Sí,No,"una anualidad, excepto en el supuesto del artículo 41.3 de esta norma, en que el límite máximo será de 9 duración determinado en el caso tía Salarial"
límite máximo de uno anualidad,No encontrado,No,No,No,No,No,"máximo será de 9 mensualidades y en el del artículo 11.2 del Real Decreto 1620/2011, de 14 de noviembre, en límite máximo de uno anualidad ntía Salarial"
parte proporcional de el pagar,Encontrado en glosario,Sí,No,Sí,Sí,No,"despido o extinción de los contratos conforme a los artículos 50 y 56, se calculará sobre la base de treinta parte proporcional de el pagar ntía Salarial"
límite fijado en el párrafo,No encontrado,No,No,No,No,No,"su existencia, el juez, de oficio o a instancia de parte, citará al Fondo de Garantía Salarial, sin cuyo requisito límite fijado en el párrafo anterior"
obligación señalada en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,como acreedor en el expediente. A los efectos del abono por el Fondo de las cantidades que resulten reconocidas a obligación señalada en el apartado Salarial
responsabilidad directo del  organismo,Encontrado en glosario,Sí,No,Sí,Sí,Sí,"cuantía igual o superior a la que se solicita del Fondo, sin perjuicio de la obligación de aquellos de reducir responsabilidad directo del  organismo arial"
cuantir reconocido en el listo,Encontrado en glosario,Sí,No,No,Sí,No,"una anualidad, sin que el salario diario, base del cálculo, pueda exceder del doble del salario mínimo interprofesional, incluyendo la cuantir reconocido en el listo ntía Salarial"
límite máximo de uno anualidad,No encontrado,No,No,No,No,No,prestación indemnizatoria a cargo del Fondo se reducirá en la cantidad ya percibida por aquellos. 4. El Fondo asumirá las límite máximo de uno anualidad ntía Salarial
parte proporcional de el pagar,Encontrado en glosario,Sí,No,Sí,Sí,No,"instrucción de expediente para la comprobación de su procedencia. Para el reembolso de las cantidades satisfechas, el Fondo de Garantía parte proporcional de el pagar ntía Salarial"
trabajador perceptor de este indemnización,Encontrado en glosario,Sí,No,Sí,Sí,No,"el Fondo de Garantía Salarial se subrogará obligatoriamente en los derechos y acciones de los trabajadores, conservando el carácter de trabajador perceptor de este indemnización l"
