Patrón,Estado,N1 en Glosario,Adj1 en Glosario,N2 en Glosario,Adj2 en Glosario,N1+Adj1 en Glosario,N2+Adj2 en Glosario,Adj1 en Lista Específica,Adj2 en Lista Específica,Contexto
importe superior a la cantidad resultante,Parcialmente encontrado,No,Sí,No,No,No,No,No,No,"conjunta o separadamente, un importe superior a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, incluyendo importe superior a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, incluyendo la parte proporcional de las pagas extraordinarias, por el número de días de salario pendiente de pago, con un máximo de ciento veinte días"
límite fijado en el párrafo anterior,Parcialmente encontrado,No,No,No,No,No,No,No,No,"su existencia, el juez, de oficio o a instancia de parte, citará al Fondo de Garantía Salarial, sin cuyo requisito límite fijado en el párrafo anterior"
obligación señalada en los apartado anterior,Parcialmente encontrado,Sí,No,No,No,No,No,No,No,como acreedor en el expediente. A los efectos del abono por el Fondo de las cantidades que resulten reconocidas a obligación señalada en los apartado anterior 1
cuantir reconocido en la listo definitivo,Parcialmente encontrado,No,No,No,No,No,No,No,No,"una anualidad, sin que el salario diario, base del cálculo, pueda exceder del doble del salario mínimo interprofesional, incluyendo la cuantir reconocido en la listo definitivo al"
obligación especificada en los apartado anterior,Parcialmente encontrado,Sí,No,No,No,No,No,No,No,"el Fondo, unos y otros se abonarán a prorrata de sus respectivos importes. 5. El Fondo de Garantía Salarial se obligación especificada en los apartado anterior El Fondo de Garantía Salarial, organismo autónomo adscrito al Ministerio de Empleo y Seguridad Social, con personalidad jurídica y capacidad de obrar para el cumplimiento de sus fines, abonará a los trabajadores el importe de los salarios pendientes de pago a causa de insolvencia o concurso del empresario"
límite previsto en los apartado anterior,Parcialmente encontrado,No,No,No,No,No,No,No,No,"de la obligación, en favor de personas que puedan ser legalmente beneficiarias y dentro de los límites previstos en los límite previsto en los apartado anterior ial"
límite previsto en los apartado anterior,Parcialmente encontrado,No,No,No,No,No,No,No,No,de trabajo límite previsto en los apartado anterior ial
límite previsto en los apartado anterior,Parcialmente encontrado,No,No,No,No,No,No,No,No,límite previsto en los apartado anterior ial
límite previsto en los apartado anterior,Parcialmente encontrado,No,No,No,No,No,No,No,No,límite previsto en los apartado anterior ial
mes contado desde el día siguiente,Parcialmente encontrado,No,No,No,No,No,No,No,No,mes contado desde el día siguiente Salarial
