Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
garantía salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"artículo . el fondo de garantía salarial . el fondo de garantía salarial, organismo autónomo adscrito al ministerio de empleo y seguridad"
garantía salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"artículo . el fondo de garantía salarial. . el fondo de garantía garantía salarial autónomo adscrito al ministerio de empleo y seguridad social, con personalidad jurídica y capacidad de"
organismo autónomo,Encontrado en glosario,Sí,No,Sí,No,"artículo . el fondo de garantía salarial. . el fondo de garantía salarial, organismo autónomo organismo autónomo ministerio de empleo y seguridad social, con personalidad jurídica y capacidad de obrar para el"
seguridad social,Encontrado en glosario,Sí,Sí,Sí,Sí,"fondo de garantía salarial. . el fondo de garantía salarial, organismo autónomo adscrito al ministerio de empleo y seguridad social, seguridad social jurídica y capacidad de obrar para el cumplimiento de sus fines, abonará a los trabajadores"
personalidad jurídica,Encontrado en glosario,Sí,Sí,Sí,Sí,". el fondo de garantía salarial, organismo autónomo adscrito al ministerio de empleo y seguridad social, con personalidad jurídica y personalidad jurídica obrar para el cumplimiento de sus fines, abonará a los trabajadores el importe de los"
salarios pendientes,Parcialmente encontrado,No,Sí,No,No,"de obrar para el cumplimiento de sus fines, abonará a los trabajadores el importe de los salarios pendientes de pago salarios pendientes de insolvencia o concurso del empresario. a los anteriores efectos, se considerará salario la cantidad"
cantidad reconocida,No encontrado,No,No,No,No,"de insolvencia o concurso del empresario. a los anteriores efectos, se considerará salario la cantidad reconocida como tal en acto cantidad reconocida o en resolución judicial por todos los conceptos a que se refiere el artículo .,"
resolución judicial,Parcialmente encontrado,No,Sí,Sí,Sí,"se considerará salario la cantidad reconocida como tal en acto de conciliación o en resolución judicial por todos los conceptos resolución judicial se refiere el artículo ., así como los salarios de tramitación en los supuestos en"
importe superior,Parcialmente encontrado,No,No,Sí,No,"por uno u otro concepto, conjunta o separadamente, un importe superior a la cantidad resultante de multiplicar el doble del importe superior interprofesional diario, incluyendo la parte proporcional de las pagas extraordinarias, por el número de días"
cantidad resultante,No encontrado,No,No,No,No,"concepto, conjunta o separadamente, un importe superior a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, cantidad resultante parte proporcional de las pagas extraordinarias, por el número de días de salario pendiente de"
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"a la cantidad resultante de multiplicar el doble del salario mínimo interprofesional diario, incluyendo la parte proporcional de las pagas salario mínimo el número de días de salario pendiente de pago, con un máximo de ciento veinte"
parte proporcional,Parcialmente encontrado,No,Sí,No,No,"doble del salario mínimo interprofesional diario, incluyendo la parte proporcional de las pagas extraordinarias, por el número de días de parte proporcional de pago, con un máximo de ciento veinte días. . el fondo de garantía salarial,"
salario pendiente,Parcialmente encontrado,No,Sí,No,No,"extraordinarias, por el número de días de salario pendiente de pago, con un máximo de ciento veinte días. . el salario pendiente garantía salarial, en los casos del apartado anterior, abonará indemnizaciones reconocidas como consecuencia de sentencia,"
garantía salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"días. . el fondo de garantía salarial, en los casos del apartado anterior, abonará indemnizaciones reconocidas como consecuencia de sentencia, garantía salarial de conciliación judicial o resolución administrativa a favor de los trabajadores a causa de despido"
apartado anterior,No encontrado,No,No,No,No,"en los casos del apartado anterior, abonará indemnizaciones reconocidas como consecuencia de sentencia, auto, acto de conciliación judicial o resolución apartado anterior favor de los trabajadores a causa de despido o extinción de los contratos conforme a"
indemnizaciones reconocidas,Parcialmente encontrado,No,Sí,No,No,"apartado anterior, abonará indemnizaciones reconocidas como consecuencia de sentencia, auto, acto de conciliación judicial o resolución administrativa a favor de indemnizaciones reconocidas a causa de despido o extinción de los contratos conforme a los artículos , ,"
conciliación judicial,Encontrado en glosario,Sí,Sí,Sí,Sí,"de conciliación judicial o resolución administrativa a favor de los trabajadores a causa de despido o extinción de los contratos conciliación judicial los artículos , , , . y ., y de extinción de contratos conforme a"
resolución administrativa,Parcialmente encontrado,No,Sí,Sí,No,"o resolución administrativa a favor de los trabajadores a causa de despido o extinción de los contratos conforme a los resolución administrativa , , . y ., y de extinción de contratos conforme a los artículos y"
texto refundido,Encontrado en glosario,Sí,No,No,No,"texto refundido de la ley concursal, aprobado por el real decreto legislativo /, de de mayo, y al artículo . texto refundido decreto /, de de noviembre, por el que se regula la relación laboral de carácter"
decreto legislativo,Encontrado en glosario,Sí,Sí,No,No,"legislativo /, de de mayo, y al artículo . del real decreto /, de de noviembre, por el que se decreto legislativo relación laboral de carácter especial del servicio del hogar familiar, así como las indemnizaciones por"
relación laboral,Encontrado en glosario,Sí,No,Sí,Sí,"del servicio del hogar familiar, así como las indemnizaciones por extinción de contratos temporales o de duración determinada en los relación laboral legalmente procedan. en todos los casos, con el límite máximo de una anualidad, excepto en"
carácter especial,Parcialmente encontrado,No,No,Sí,Sí,"hogar familiar, así como las indemnizaciones por extinción de contratos temporales o de duración determinada en los casos que legalmente carácter especial todos los casos, con el límite máximo de una anualidad, excepto en el supuesto del"
hogar familiar,Parcialmente encontrado,No,No,Sí,Sí,"indemnizaciones por extinción de contratos temporales o de duración determinada en los casos que legalmente procedan. en todos los casos, hogar familiar límite máximo de una anualidad, excepto en el supuesto del artículo . de esta norma,"
contratos temporales,Parcialmente encontrado,No,Sí,Sí,No,"en los casos que legalmente procedan. en todos los casos, con el límite máximo de una anualidad, excepto en el contratos temporales artículo . de esta norma, en que el límite máximo será de mensualidades y en"
duración determinada,No encontrado,No,No,No,No,"legalmente procedan. en todos los casos, con el límite máximo de una anualidad, excepto en el supuesto del artículo . duración determinada norma, en que el límite máximo será de mensualidades y en el del artículo ."
límite máximo,No encontrado,No,No,No,No,"supuesto del artículo . de esta norma, en que el límite máximo será de mensualidades y en el del artículo límite máximo real decreto /, de de noviembre, en que el límite será de mensualidades, sin que"
límite máximo,No encontrado,No,No,No,No,". del real decreto /, de de noviembre, en que el límite será de mensualidades, sin que el salario diario, límite máximo cálculo, pueda exceder del doble del salario mínimo interprofesional, incluyendo la parte proporcional de las"
salario diario,Parcialmente encontrado,No,Sí,No,No,"incluyendo la parte proporcional de las pagas extraordinarias. el importe de la indemnización, a los solos efectos de abono por salario diario de garantía salarial para los casos de despido o extinción de los contratos conforme a"
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"indemnización, a los solos efectos de abono por el fondo de garantía salarial para los casos de despido o extinción salario mínimo contratos conforme a los artículos y , se calculará sobre la base de treinta días"
parte proporcional,Parcialmente encontrado,No,Sí,No,No,"abono por el fondo de garantía salarial para los casos de despido o extinción de los contratos conforme a los parte proporcional , se calculará sobre la base de treinta días por año de servicio, con el"
garantía salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"se calculará sobre la base de treinta días por año de servicio, con el límite fijado en el párrafo anterior. garantía salarial caso de procedimientos concursales, desde el momento en que se tenga conocimiento de la existencia"
límite fijado,No encontrado,No,No,No,No,"conocimiento de la existencia de créditos laborales o se presuma la posibilidad de su existencia, el juez, de oficio o límite fijado de parte, citará al fondo de garantía salarial, sin cuyo requisito no asumirá este las"
párrafo anterior,No encontrado,No,No,No,No,"de créditos laborales o se presuma la posibilidad de su existencia, el juez, de oficio o a instancia de parte, párrafo anterior fondo de garantía salarial, sin cuyo requisito no asumirá este las obligaciones señaladas en los"
procedimientos concursales,Parcialmente encontrado,No,Sí,Sí,No,"posibilidad de su existencia, el juez, de oficio o a instancia de parte, citará al fondo de garantía salarial, sin procedimientos concursales no asumirá este las obligaciones señaladas en los apartados anteriores. el fondo se personará en"
créditos laborales,Parcialmente encontrado,No,Sí,Sí,Sí,"fondo de garantía salarial, sin cuyo requisito no asumirá este las obligaciones señaladas en los apartados anteriores. el fondo se créditos laborales el expediente como responsable legal subsidiario del pago de los citados créditos, pudiendo instar lo"
garantía salarial,Parcialmente encontrado,No,Sí,Sí,Sí,"legal subsidiario del pago de los citados créditos, pudiendo instar lo que a su derecho convenga y sin perjuicio de garantía salarial vez realizado, continúe como acreedor en el expediente. a los efectos del abono por el"
obligaciones señaladas,Parcialmente encontrado,No,Sí,No,No,"lo que a su derecho convenga y sin perjuicio de que, una vez realizado, continúe como acreedor en el expediente. obligaciones señaladas efectos del abono por el fondo de las cantidades que resulten reconocidas a favor de"
apartados anteriores,No encontrado,No,No,No,No,"derecho convenga y sin perjuicio de que, una vez realizado, continúe como acreedor en el expediente. a los efectos del apartados anteriores el fondo de las cantidades que resulten reconocidas a favor de los trabajadores, se tendrán"
responsable legal,Parcialmente encontrado,No,No,Sí,No,"como acreedor en el expediente. a los efectos del abono por el fondo de las cantidades que resulten reconocidas a responsable legal los trabajadores, se tendrán en cuenta las reglas siguientes: primera. sin perjuicio de los supuestos"
vez realizado,No encontrado,No,No,No,No,tendrán en cuenta las reglas siguientes: primera. sin perjuicio de los supuestos de responsabilidad directa del organismo en los casos vez realizado el reconocimiento del derecho a la prestación exigirá que los créditos de los trabajadores aparezcan
reglas siguientes,Parcialmente encontrado,No,Sí,No,No,"trabajadores aparezcan incluidos en la lista de acreedores o, en su caso, reconocidos como deudas de la masa por el reglas siguientes concurso competente para ello en cuantía igual o superior a la que se solicita del"
responsabilidad directa,Encontrado en glosario,Sí,Sí,Sí,Sí,"caso, reconocidos como deudas de la masa por el órgano del concurso competente para ello en cuantía igual o superior responsabilidad directa que se solicita del fondo, sin perjuicio de la obligación de aquellos de reducir su"
concurso competente,Parcialmente encontrado,No,Sí,No,No,"cuando la cuantía reconocida en la lista definitiva fuese inferior a la solicitada o a la ya percibida. segunda. las concurso competente abonar a cargo del fondo, con independencia de lo que se pueda pactar en el"
cuantía reconocida,Parcialmente encontrado,No,Sí,No,No,"se calcularán sobre la base de veinte días por año de servicio, con el límite máximo de una anualidad, sin cuantía reconocida salario diario, base del cálculo, pueda exceder del doble del salario mínimo interprofesional, incluyendo la"
lista definitiva,No encontrado,No,No,No,No,"base de veinte días por año de servicio, con el límite máximo de una anualidad, sin que el salario diario, lista definitiva cálculo, pueda exceder del doble del salario mínimo interprofesional, incluyendo la parte proporcional de las"
límite máximo,No encontrado,No,No,No,No,"del fondo el abono de la parte de indemnización no satisfecha por el empresario, el límite de la prestación indemnizatoria límite máximo del fondo se reducirá en la cantidad ya percibida por aquellos. . el fondo asumirá"
salario diario,Parcialmente encontrado,No,Sí,No,No,"no satisfecha por el empresario, el límite de la prestación indemnizatoria a cargo del fondo se reducirá en la cantidad salario diario por aquellos. . el fondo asumirá las obligaciones especificadas en los apartados anteriores, previa instrucción"
salario mínimo,Parcialmente encontrado,No,Sí,No,No,"cargo del fondo se reducirá en la cantidad ya percibida por aquellos. . el fondo asumirá las obligaciones especificadas en salario mínimo anteriores, previa instrucción de expediente para la comprobación de su procedencia. para el reembolso de"
parte proporcional,Parcialmente encontrado,No,Sí,No,No,"la cantidad ya percibida por aquellos. . el fondo asumirá las obligaciones especificadas en los apartados anteriores, previa instrucción de parte proporcional la comprobación de su procedencia. para el reembolso de las cantidades satisfechas, el fondo de"
trabajadores perceptores,Parcialmente encontrado,No,Sí,No,No,"apartados anteriores, previa instrucción de expediente para la comprobación de su procedencia. para el reembolso de las cantidades satisfechas, el trabajadores perceptores garantía salarial se subrogará obligatoriamente en los derechos y acciones de los trabajadores, conservando el"
prestación indemnizatoria,Parcialmente encontrado,No,Sí,No,No,"subrogará obligatoriamente en los derechos y acciones de los trabajadores, conservando el carácter de créditos privilegiados que les confiere el prestación indemnizatoria esta ley. si dichos créditos concurriesen con los que puedan conservar los trabajadores por la"
obligaciones especificadas,Parcialmente encontrado,No,Sí,No,No,de esta ley. si dichos créditos concurriesen con los que puedan conservar los trabajadores por la parte no satisfecha por obligaciones especificadas unos y otros se abonarán a prorrata de sus respectivos importes. . el fondo de
apartados anteriores,No encontrado,No,No,No,No,"dichos créditos concurriesen con los que puedan conservar los trabajadores por la parte no satisfecha por el fondo, unos y apartados anteriores abonarán a prorrata de sus respectivos importes. . el fondo de garantía salarial se financiará"
