Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
promoción económica,Parcialmente encontrado,No,Sí,Sí,Sí,"artículo . promoción económica . el trabajador, en función del trabajo desarrollado, podrá tener derecho a una promoción económica"
trabajo desarrollado,Parcialmente encontrado,No,Sí,No,No,"artículo . promoción económica. . el trabajador, en función del trabajo desarrollado, trabajo desarrollado derecho a una promoción económica en los términos fijados en convenio colectivo o contrato individual."
promoción económica,Parcialmente encontrado,No,Sí,Sí,Sí,"artículo . promoción económica. . el trabajador, en función del trabajo desarrollado, podrá tener derecho a una promoción económica en promoción económica fijados en convenio colectivo o contrato individual. . lo dispuesto en el apartado anterior se"
términos fijados,Parcialmente encontrado,No,Sí,No,No,". el trabajador, en función del trabajo desarrollado, podrá tener derecho a una promoción económica en los términos fijados en términos fijados o contrato individual. . lo dispuesto en el apartado anterior se entiende sin perjuicio de"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"en función del trabajo desarrollado, podrá tener derecho a una promoción económica en los términos fijados en convenio colectivo o convenio colectivo . lo dispuesto en el apartado anterior se entiende sin perjuicio de los derechos adquiridos"
contrato individual,Parcialmente encontrado,No,Sí,Sí,No,"trabajo desarrollado, podrá tener derecho a una promoción económica en los términos fijados en convenio colectivo o contrato individual. . contrato individual en el apartado anterior se entiende sin perjuicio de los derechos adquiridos o en curso"
apartado anterior,No encontrado,No,No,No,No,económica en los términos fijados en convenio colectivo o contrato individual. . lo dispuesto en el apartado anterior se entiende apartado anterior de los derechos adquiridos o en curso de adquisición en el tramo temporal correspondiente. sección
derechos adquiridos,Encontrado en glosario,Sí,Sí,No,No,o contrato individual. . lo dispuesto en el apartado anterior se entiende sin perjuicio de los derechos adquiridos o en derechos adquiridos adquisición en el tramo temporal correspondiente. sección .ª salarios y garantías salariales
tramo temporal,Parcialmente encontrado,No,No,Sí,No,anterior se entiende sin perjuicio de los derechos adquiridos o en curso de adquisición en el tramo temporal correspondiente. sección tramo temporal y garantías salariales
garantías salariales,Parcialmente encontrado,No,Sí,Sí,Sí,adquiridos o en curso de adquisición en el tramo temporal correspondiente. sección .ª salarios y garantías salariales garantías salariales
